Quote,Author
"God has blessed me with an amazing family, friends and work colleagues that have been my joy, my support, and my sanity. I don't know what I'd do without them.",Josie Loren
Try to keep your soul young and quivering right up to old age.,George Sand
There are two great days in a person's life - the day we are born and the day we discover why.,William Barclay
Loneliness adds beauty to life. It puts a special burn on sunsets and makes night air smell better.,Henry Rollins
"In art, the hand can never execute anything higher than the heart can imagine.",Ralph Waldo Emerson
An anniversary is a reminder as to why you love and married this person.,Zoe Foster Blake
I have to say I have an amazing therapist. She's my best friend for life. She's taught me how to balance everything out.,Nikki Bella
"The secret of genius is to carry the spirit of the child into old age, which means never losing your enthusiasm.",Aldous Huxley
,
God gave us the gift of life; it is up to us to give ourselves the gift of living well.,Voltaire
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
"Painting is easy when you don't know how, but very difficult when you do.",Edgar Degas
"Some people ask the secret of our long marriage. We take time to go to a restaurant two times a week. A little candlelight, dinner, soft music and dancing. She goes Tuesdays, I go Fridays.",Henny Youngman
It is amazing what you can accomplish if you do not care who gets the credit.,Harry S Truman
"In our age there is no such thing as 'keeping out of politics.' All issues are political issues, and politics itself is a mass of lies, evasions, folly, hatred and schizophrenia.",George Orwell
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell
"Let us never know what old age is. Let us know the happiness time brings, not count the years.",Ausonius
Beauty is power; a smile is its sword.,John Ray
The purpose of art is washing the dust of daily life off our souls.,Pablo Picasso
"We invest less in our friendships and expect more of friends than any other relationship. We spend days working out where to book for a romantic dinner, weeks wondering how to celebrate a partner or parent's birthday, and seconds forgetting a friend's important anniversary.",Mariella Frostrup
"The connection to place, to the land, the wind, the sun, stars, the moon... it sounds romantic, but it's true - the visceral experience of motion, of moving through time on some amazing machine - a few cars touch on it, but not too many compared to motorcycles. I always felt that any motorcycle journey was special.",Antoine Predock
"Those who improve with age embrace the power of personal growth and personal achievement and begin to replace youth with wisdom, innocence with understanding, and lack of purpose with self-actualization.",Bo Bennett
Great things in business are never done by one person. They're done by a team of people.,Steve Jobs
"The more you praise and celebrate your life, the more there is in life to celebrate.",Oprah Winfrey
"Beauty is when you can appreciate yourself. When you love yourself, that's when you're most beautiful.",Zoe Kravitz
"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.",John Wooden
"You were made perfectly to be loved - and surely I have loved you, in the idea of you, my whole life long.",Elizabeth Barrett Browning
"If you set goals and go after them with all the determination you can muster, your gifts will take you places that will amaze you.",Les Brown
"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy.",Abhishek Bachchan
Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,Theodore Isaac Rubin
The greatest gift that you can give to others is the gift of unconditional love and acceptance.,Brian Tracy
"Beauty has so many forms, and I think the most beautiful thing is confidence and loving yourself.",Kiesza
My eyes were made to erase all that is ugly.,Raoul Dufy
"We are not the same persons this year as last; nor are those we love. It is a happy chance if we, changing, continue to love a changed person.",W. Somerset Maugham
"People always tell you, 'Be humble. Be humble.' When was the last time someone told you to be amazing? Be great! Be great! Be awesome! Be awesome!",Kanye West
"Every age has its storytelling form, and video gaming is a huge part of our culture. You can ignore or embrace video games and imbue them with the best artistic quality. People are enthralled with video games in the same way as other people love the cinema or theatre.",Andy Serkis
Most of what we call management consists of making it difficult for people to get their work done.,Peter Drucker
Today you are you! That is truer than true! There is no one alive who is you-er than you!,Dr. Seuss
"Never lose an opportunity of seeing anything beautiful, for beauty is God's handwriting.",Ralph Waldo Emerson
The supreme art of war is to subdue the enemy without fighting.,Sun Tzu
"Yes, it was love at first sight. I feel that after all these years, I have finally found my soul mate.",Barbara Hershey
"It's amazing. Life changes very quickly, in a very positive way, if you let it.",Lindsey Vonn
Marriage is not about age; it's about finding the right person.,Sophia Bush
A satisfied customer is the best business strategy of all.,Michael LeBoeuf
"Age is a case of mind over matter. If you don't mind, it don't matter.",Satchel Paige
Let the beauty of what you love be what you do.,Rumi
Mathematics is the art of giving the same name to different things.,Henri Poincare
"Experts on romance say for a happy marriage there has to be more than a passionate love. For a lasting union, they insist, there must be a genuine liking for each other. Which, in my book, is a good definition for friendship.",Marilyn Monroe
"Business is all about the customer: what the customer wants and what they get. Generally, every customer wants a product or service that solves their problem, worth their money, and is delivered with amazing customer service.",Fabrizio Moreira
Age and size are only numbers. It's the attitude you bring to clothes that make the difference.,Donna Karan
Making money is art and working is art and good business is the best art.,Andy Warhol
"Cakes are special. Every birthday, every celebration ends with something sweet, a cake, and people remember. It's all about the memories.",Buddy Valastro
"Take care of your inner, spiritual beauty. That will reflect in your face.",Dolores del Rio
Making money is art and working is art and good business is the best art.,Andy Warhol
"The only big things I've purchased are my dad's heart valve and a Rolls-Royce for my parents, for their anniversary. And that was only because my dad had a Lady Gaga license plate on our old car and it was making me crazy because he was getting followed everywhere, so I bought him a new car.",Lady Gaga
My childhood memories are amazing; I had freedom in every way - but I see everything from a different perspective now that I live outside.,Ana de Armas
"Just remember, once you're over the hill you begin to pick up speed.",Arthur Schopenhauer
Our work is the presentation of our capabilities.,Edward Gibbon
Cherish all your happy moments; they make a fine cushion for old age.,Booth Tarkington
The soul that sees beauty may sometimes walk alone.,Johann Wolfgang von Goethe
"Youth is the gift of nature, but age is a work of art.",Stanislaw Jerzy Lec
One should believe in marriage as in the immortality of the soul.,Honore de Balzac
"I thank you God for this most amazing day, for the leaping greenly spirits of trees, and for the blue dream of sky and for everything which is natural, which is infinite, which is yes.",e. e. cummings
Aging is not lost youth but a new stage of opportunity and strength.,Betty Friedan
"I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.",Leonardo da Vinci
It takes a long time to become young.,Pablo Picasso
Beauty is truth's smile when she beholds her own face in a perfect mirror.,Rabindranath Tagore
It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,Albert Einstein
"In terms of my marriage, you know, falling in love with my husband was by far the best thing that's ever happened to me.",Caroline Kennedy
"I've prioritized taking care of my mind, having fun, and doing things that make me laugh. And eating well - as in, really good food, like steak or pasta or fresh vegetables or an amazing dessert. You know, 'treat yo'self.'",Phillipa Soo
"Age appears to be best in four things; old wood best to burn, old wine to drink, old friends to trust, and old authors to read.",Francis Bacon
"In the business world, the rearview mirror is always clearer than the windshield.",Warren Buffett
Every birthday is a gift. Every day is a gift.,Aretha Franklin
"Life is full of beauty. Notice it. Notice the bumble bee, the small child, and the smiling faces. Smell the rain, and feel the wind. Live your life to the fullest potential, and fight for your dreams.",Ashley Smith
The true work of art is but a shadow of the divine perfection.,Michelangelo
"Marriage is an act of will that signifies and involves a mutual gift, which unites the spouses and binds them to their eventual souls, with whom they make up a sole family - a domestic church.",Pope John Paul II
"Outstanding leaders go out of their way to boost the self-esteem of their personnel. If people believe in themselves, it's amazing what they can accomplish.",Sam Walton
"The most inspiring piece of advice I've gotten is simply to persevere. My mom taught me to always keep going no matter what from an early age. When it feels too difficult to push forward, I always remind myself, 'This too shall pass,' and then I redouble my efforts.",Liya Kebede
The true measure of the value of any business leader and manager is performance.,Brian Tracy
"The American flag is an enduring symbol of liberty, democracy, and justice. It is fitting that the House act to protect it as we approach our nation's birthday, and as our men and women in uniform rally behind it in Iraq's battlefields.",Joe Barton
Nature's beauty is a gift that cultivates appreciation and gratitude.,Louie Schwartzberg
"Excellence is an art won by training and habituation. We do not act rightly because we have virtue or excellence, but we rather have those because we have acted rightly. We are what we repeatedly do. Excellence, then, is not an act but a habit.",Aristotle
"I think long-lasting, healthy relationships are more important than the idea of marriage. At the root of every successful marriage is a strong partnership.",Carson Daly
"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.",Joel Osteen
Youth has no age.,Pablo Picasso
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",Mark Twain
The greatest gifts you can give your children are the roots of responsibility and the wings of independence.,Denis Waitley
"Everything has beauty, but not everyone sees it.",Confucius
The art and science of asking questions is the source of all knowledge.,Thomas Berger
"Marriage is an alliance entered into by a man who can't sleep with the window shut, and a woman who can't sleep with the window open.",George Bernard Shaw
"My son has been the best thing that has happened in my life. He has been amazing, and he is truly heaven-sent. And so, I just feel all that love.",Ciara
"There is a plan and a purpose, a value to every life, no matter what its location, age, gender or disability.",Sharron Angle
A brand for a company is like a reputation for a person. You earn reputation by trying to do hard things well.,Jeff Bezos
"Don't just count your years, make your years count.",George Meredith
"When I admire the wonders of a sunset or the beauty of the moon, my soul expands in the worship of the creator.",Mahatma Gandhi
Riding a race bike is an art - a thing that you do because you feel something inside.,Valentino Rossi
"Mom and Dad were married 64 years. And if you wondered what their secret was, you could have asked the local florist - because every day Dad gave Mom a rose, which he put on her bedside table. That's how she found out what happened on the day my father died - she went looking for him because that morning, there was no rose.",Mitt Romney
There are amazingly wonderful people in all walks of life; some familiar to us and others not. Stretch yourself and really get to know people. People are in many ways one of our greatest treasures.,Bryant H. McGill
"You can't help getting older, but you don't have to get old.",George Burns
"Ideas pull the trigger, but instinct loads the gun.",Don Marquis
"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy.",Abhishek Bachchan
"If the path be beautiful, let us not ask where it leads.",Anatole France
"You must not fight too often with one enemy, or you will teach him all your art of war.",Napoleon Bonaparte
A lot of good love can happen in ten years.,Jim Carrey
"My dad was my best friend and greatest role model. He was an amazing dad, coach, mentor, soldier, husband and friend.",Tiger Woods
"I'm very mature for my age, but I'm also innocent in a lot of ways.",Kirsten Dunst
A friendship founded on business is better than a business founded on friendship.,John D. Rockefeller
"Every year on your birthday, you get a chance to start new.",Sammy Hagar
"Beauty is how you feel inside, and it reflects in your eyes. It is not something physical.",Sophia Loren
Motivation is the art of getting people to do what you want them to do because they want to do it.,Dwight D. Eisenhower
I love being my husband's wife.,Julianna Margulies
"I love musicians. I think artists are the most amazing people because they're constantly creating beauty for the world. With all the crazy stuff going on in the world, then there's artists reminding us of our humanity and reminding us of our heart and soul and what really matters.",Christie Brinkley
"The secret of staying young is to live honestly, eat slowly, and lie about your age.",Lucille Ball
The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,Bill Gates
"Any time women come together with a collective intention, it's a powerful thing. Whether it's sitting down making a quilt, in a kitchen preparing a meal, in a club reading the same book, or around the table playing cards, or planning a birthday party, when women come together with a collective intention, magic happens.",Phylicia Rashad
"By plucking her petals, you do not gather the beauty of the flower.",Rabindranath Tagore
"No difficulty can discourage, no obstacle dismay, no trouble dishearten the man who has acquired the art of being alive. Difficulties are but dares of fate, obstacles but hurdles to try his skill, troubles but bitter tonics to give him strength; and he rises higher and looms greater after each encounter with adversity.",Ella Wheeler Wilcox
"Life is all about balance, and there are certain times of the year - birthday, anniversary, holidays - that are meant to be enjoyed without guilt. That being said, Thanksgiving is a meal - it's not a Thanksgiving day, and it's not a Thanksgiving week.",Harley Pasternak
"When you're true to who you are, amazing things happen.",Deborah Norville
We're all working together; that's the secret.,Sam Walton
"When you wake up every day, it's like a new birthday: it's a new chance to be great again and make great decisions.",Poo Bear
"Be sure what you want and be sure about yourself. Fashion is not just beauty, it's about good attitude. You have to believe in yourself and be strong.",Adriana Lima
Drawing is the honesty of the art. There is no possibility of cheating. It is either good or bad.,Salvador Dali
"I love my wife, she deserves anything and everything.",Aaron Spelling
I'm not perfect. And who knows how many times I've fallen short. We all fall short. That's the amazing thing about the grace of God.,Tim Tebow
"There is always space for improvement, no matter how long you've been in the business.",Oscar De La Hoya
"You don't get older, you get better.",Shirley Bassey
"The beauty of a woman must be seen from in her eyes, because that is the doorway to her heart, the place where love resides.",Audrey Hepburn
Vision is the art of seeing what is invisible to others.,Jonathan Swift
"It is a matter of public shame that while we have now commemorated our hundredth anniversary, not one in every ten children attending Public schools throughout the colonies is acquainted with a single historical fact about Australia.",Henry Lawson
Effort only fully releases its reward after a person refuses to quit.,Napoleon Hill
How old would you be if you didn't know how old you are?,Satchel Paige
"The more often we see the things around us - even the beautiful and wonderful things - the more they become invisible to us. That is why we often take for granted the beauty of this world: the flowers, the trees, the birds, the clouds - even those we love. Because we see things so often, we see them less and less.",Joseph B. Wirthlin
The art of medicine consists in amusing the patient while nature cures the disease.,Voltaire
"You will reciprocally promise love, loyalty and matrimonial honesty. We only want for you this day that these words constitute the principle of your entire life and that with the help of divine grace you will observe these solemn vows that today, before God, you formulate.",Pope John Paul II
Failure doesn't mean you are a failure it just means you haven't succeeded yet.,Robert H. Schuller
Youth has no age.,Pablo Picasso
The beauty of a woman is not in a facial mode but the true beauty in a woman is reflected in her soul. It is the caring that she lovingly gives the passion that she shows. The beauty of a woman grows with the passing years.,Audrey Hepburn
Democracy is the art and science of running the circus from the monkey cage.,H. L. Mencken
Just because something doesn't do what you planned it to do doesn't mean it's useless.,Thomas A. Edison
Let us celebrate the occasion with wine and sweet words.,Plautus
Makeup is not a mask that covers up your beauty; it's a weapon that helps you express who you are from the inside.,Michelle Phan
You use a glass mirror to see your face; you use works of art to see your soul.,George Bernard Shaw
Information technology and business are becoming inextricably interwoven. I don't think anybody can talk meaningfully about one without the talking about the other.,Bill Gates
"A gift consists not in what is done or given, but in the intention of the giver or doer.",Lucius Annaeus Seneca
It's nice to just embrace the natural beauty within you.,Victoria Justice
A business that makes nothing but money is a poor business.,Henry Ford
The great thing about getting older is that you don't lose all the other ages you've been.,Madeleine L'Engle
Think of all the beauty still left around you and be happy.,Anne Frank
"Business is all about the customer: what the customer wants and what they get. Generally, every customer wants a product or service that solves their problem, worth their money, and is delivered with amazing customer service.",Fabrizio Moreira
"We invest less in our friendships and expect more of friends than any other relationship. We spend days working out where to book for a romantic dinner, weeks wondering how to celebrate a partner or parent's birthday, and seconds forgetting a friend's important anniversary.",Mariella Frostrup
The greatest ability in business is to get along with others and to influence their actions.,John Hancock
To me - old age is always ten years older than I am.,Bernard Baruch
Sales are contingent upon the attitude of the salesman - not the attitude of the prospect.,W. Clement Stone
"Do what you love to do and give it your very best. Whether it's business or baseball, or the theater, or any field. If you don't love what you're doing and you can't give it your best, get out of it. Life is too short. You'll be an old man before you know it.",Al Lopez
,
,
,
,
Your diet is a bank account. Good food choices are good investments.,Bethenny Frankel
The most important thing in the world is family and love.,John Wooden
"A dream doesn't become reality through magic; it takes sweat, determination and hard work.",Colin Powell
Happiness is not something you postpone for the future; it is something you design for the present.,Jim Rohn
,
,
,
,
,
,
"Vegetables are a must on a diet. I suggest carrot cake, zucchini bread, and pumpkin pie.",Jim Davis
"My father gave me the greatest gift anyone could give another person, he believed in me.",Jim Valvano
"Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.",Harriet Tubman
"Fashion fades, only style remains the same.",Coco Chanel
"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'",Eleanor Roosevelt
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino
Nothing is better than going home to family and eating good food and relaxing.,Irina Shayk
"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.",Earl Nightingale
Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller
"We are told to let our light shine, and if it does, we won't need to tell anybody it does. Lighthouses don't fire cannons to call attention to their shining - they just shine.",Dwight L. Moody
,
"The only way to keep your health is to eat what you don't want, drink what you don't like, and do what you'd rather not.",Mark Twain
"One of the greatest titles in the world is parent, and one of the biggest blessings in the world is to have parents to call mom and dad.",Jim DeMint
"Stay true to yourself, yet always be open to learn. Work hard, and never give up on your dreams, even when nobody else believes they can come true but you. These are not cliches but real tools you need no matter what you do in life to stay focused on your path.",Phillip Sweet
"You can design and create, and build the most wonderful place in the world. But it takes people to make the dream a reality.",Walt Disney
"If you want to conquer fear, don't sit home and think about it. Go out and get busy.",Dale Carnegie
,
,
,
,
,
"Success is the result of perfection, hard work, learning from failure, loyalty, and persistence.",Colin Powell
"When you rise in the morning, give thanks for the light, for your life, for your strength. Give thanks for your food and for the joy of living. If you see no reason to give thanks, the fault lies in yourself.",Tecumseh
"You don't choose your family. They are God's gift to you, as you are to them.",Desmond Tutu
Life is full of happiness and tears; be strong and have faith.,Kareena Kapoor Khan
Do not abandon yourselves to despair. We are the Easter people and hallelujah is our song.,Pope John Paul II
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,"Martin Luther King, Jr."
"I learned a few years ago that balance is the key to a happy and successful life, and a huge part of achieving that balance is to instill rituals into your everyday life - a nutritious balanced diet, daily exercise, time for yourself through meditation, reading, journaling, yoga, daily reflection, and setting goals.",Gretchen Bleiler
"Anyone can be a father, but it takes someone special to be a dad, and that's why I call you dad, because you are so special to me. You taught me the game and you taught me how to play it right.",Wade Boggs
A positive attitude can really make dreams come true - it did for me.,David Bailey
"Design is a way of life, a point of view. It involves the whole complex of visual communications: talent, creative ability, manual skill, and technical knowledge. Aesthetics and economics, technology and psychology are intrinsically related to the process.",Paul Rand
"I've learned that fear limits you and your vision. It serves as blinders to what may be just a few steps down the road for you. The journey is valuable, but believing in your talents, your abilities, and your self-worth can empower you to walk down an even brighter path. Transforming fear into freedom - how great is that?",Soledad O'Brien
"Just living is not enough... one must have sunshine, freedom, and a little flower.",Hans Christian Andersen
"By plucking her petals, you do not gather the beauty of the flower.",Rabindranath Tagore
"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.",Earl Nightingale
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome
"You don't choose your family. They are God's gift to you, as you are to them.",Desmond Tutu
,
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
"There are only three things women need in life: food, water, and compliments.",Chris Rock
It's all about quality of life and finding a happy balance between work and friends and family.,Philip Green
Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.,Norman Vincent Peale
"God proved His love on the Cross. When Christ hung, and bled, and died, it was God saying to the world, 'I love you.'",Billy Graham
"There is no love without forgiveness, and there is no forgiveness without love.",Bryant H. McGill
"The medical literature tells us that the most effective ways to reduce the risk of heart disease, cancer, stroke, diabetes, Alzheimer's, and many more problems are through healthy diet and exercise. Our bodies have evolved to move, yet we now use the energy in oil instead of muscles to do our work.",David Suzuki
To a father growing old nothing is dearer than a daughter.,Euripides
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
"A shoe is not only a design, but it's a part of your body language, the way you walk. The way you're going to move is quite dictated by your shoes.",Christian Louboutin
Love will find a way through paths where wolves fear to prey.,Lord Byron
,
,
,
,
,
A friend is someone who gives you total freedom to be yourself.,Jim Morrison
"Flowers always make people better, happier, and more helpful; they are sunshine, food and medicine for the soul.",Luther Burbank
"Change your life today. Don't gamble on the future, act now, without delay.",Simone de Beauvoir
"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.",Brad Henry
I just find myself happy with the simple things. Appreciating the blessings God gave me.,DMX
Nationalism is an infantile disease. It is the measles of mankind.,Albert Einstein
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell
"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content.",Maria Sharapova
The most important thing in the world is family and love.,John Wooden
"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.",Gail Devers
"Love always involves responsibility, and love always involves sacrifice. And we do not really love Christ unless we are prepared to face His task and to take up His Cross.",William Barclay
I believe forgiveness is the best form of love in any relationship. It takes a strong person to say they're sorry and an even stronger person to forgive.,Yolanda Hadid
"Looking good and feeling good go hand in hand. If you have a healthy lifestyle, your diet and nutrition are set, and you're working out, you're going to feel good.",Jason Statham
"A real man loves his wife, and places his family as the most important thing in life. Nothing has brought me more peace and content in life than simply being a good husband and father.",Frank Abagnale
The biggest adventure you can take is to live the life of your dreams.,Oprah Winfrey
Design is not just what it looks like and feels like. Design is how it works.,Steve Jobs
Remember your dreams and fight for them. You must know what you want from life. There is just one thing that makes your dream become impossible: the fear of failure.,Paulo Coelho
We don't stop going to school when we graduate.,Carol Burnett
"Everybody wants to be famous, but nobody wants to do the work. I live by that. You grind hard so you can play hard. At the end of the day, you put all the work in, and eventually it'll pay off. It could be in a year, it could be in 30 years. Eventually, your hard work will pay off.",Kevin Hart
"Racism is still with us. But it is up to us to prepare our children for what they have to meet, and, hopefully, we shall overcome.",Rosa Parks
Life is the art of drawing without an eraser.,John W. Gardner
"I can find God in nature, in animals, in birds and the environment.",Pat Buckley
,
"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.",Kevyn Aucoin
The flower that smells the sweetest is shy and lowly.,William Wordsworth
The past cannot be changed. The future is yet in your power.,Unknown
"Love myself I do. Not everything, but I love the good as well as the bad. I love my crazy lifestyle, and I love my hard discipline. I love my freedom of speech and the way my eyes get dark when I'm tired. I love that I have learned to trust people with my heart, even if it will get broken. I am proud of everything that I am and will become.",Johnny Weir
Your talent is God's gift to you. What you do with it is your gift back to God.,Leo Buscaglia
"Let us never forget that government is ourselves and not an alien power over us. The ultimate rulers of our democracy are not a President and senators and congressmen and government officials, but the voters of this country.",Franklin D. Roosevelt
"Failure is simply the opportunity to begin again, this time more intelligently.",Henry Ford
"If music be the food of love, play on.",William Shakespeare
"My family is my life, and everything else comes second as far as what's important to me.",Michael Imperioli
"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.",Joel Osteen
I have always wanted a bunny and I'll always have a rabbit the rest of my life.,Amy Sedaris
"Mistakes are always forgivable, if one has the courage to admit them.",Bruce Lee
"Looking beautiful isn't just about what you apply on your face. It's the little things you do that matter. A combination of a good diet, exercise, healthy habits, discipline, dancing etc. is what my beauty routine consists of. Also, I have no bad habits; I don't drink or smoke. All these contribute to me being fit and looking good.",Madhuri Dixit
"My dad is my best friend, my father, and my boss. When I do something that is exciting and he likes it, it feels three times as good as you can imagine.",David Lauren
"Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.",Gail Devers
"I think fashion is a lot of fun. I love clothes. More than fashion or brand labels, I love design. I love the thought that people put into clothes. I love when clothes make cultural statements and I think personal style is really cool. I also freely recognize that fashion should be a hobby.",Anne Hathaway
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",Nelson Mandela
,
,
,
,
,
"The aim of education is the knowledge, not of facts, but of values.",William S. Burroughs
The world's most famous and popular language is music.,Psy
No struggle can ever succeed without women participating side by side with men.,Muhammad Ali Jinnah
"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'",Eleanor Roosevelt
"Keep close to Nature's heart... and break clear away, once in awhile, and climb a mountain or spend a week in the woods. Wash your spirit clean.",John Muir
"Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.",Harriet Tubman
"Love myself I do. Not everything, but I love the good as well as the bad. I love my crazy lifestyle, and I love my hard discipline. I love my freedom of speech and the way my eyes get dark when I'm tired. I love that I have learned to trust people with my heart, even if it will get broken. I am proud of everything that I am and will become.",Johnny Weir
"If you have a garden and a library, you have everything you need.",Marcus Tullius Cicero
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford
Nothing is better than going home to family and eating good food and relaxing.,Irina Shayk
"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.",Joel Osteen
"Patriotism is supporting your country all the time, and your government when it deserves it.",Mark Twain
Think like a queen. A queen is not afraid to fail. Failure is another steppingstone to greatness.,Oprah Winfrey
Your diet is a bank account. Good food choices are good investments.,Bethenny Frankel
"Peace is the beauty of life. It is sunshine. It is the smile of a child, the love of a mother, the joy of a father, the togetherness of a family. It is the advancement of man, the victory of a just cause, the triumph of truth.",Menachem Begin
"When you focus on being a blessing, God makes sure that you are always blessed in abundance.",Joel Osteen
"The Bible tells us that God will meet all our needs. He feeds the birds of the air and clothes the grass with the splendor of lilies. How much more, then, will He care for us, who are made in His image? Our only concern is to obey the heavenly Father and leave the consequences to Him.",Charles Stanley
